id,name,LAT,LON,layer,source
1115,Ceti Mensa,-5.89,-76.02,"Mensa, mensae",gazeteer_of_planetary_nomenclature
1119,Chafe,15.1,102.41,"Crater, craters",gazeteer_of_planetary_nomenclature
1122,Chalce,-49.67,0,Albedo Feature,gazeteer_of_planetary_nomenclature
1123,Chalce Fossa,-51.67,-39.59,"Fossa, fossae",gazeteer_of_planetary_nomenclature
1124,Chalce Montes,-53.72,-37.65,"Mons, montes",gazeteer_of_planetary_nomenclature
1125,Chalcoporos Rupēs,-55.64,20.57,"Rupes, rupēs",gazeteer_of_planetary_nomenclature
1130,Chamberlin,-65.84,-124.29,"Crater, craters",gazeteer_of_planetary_nomenclature
1137,Changsŏng,23.47,-57.34,"Crater, craters",gazeteer_of_planetary_nomenclature
1141,Chapais,-22.35,-20.55,"Crater, craters",gazeteer_of_planetary_nomenclature
1148,Charis Dorsum,-55.86,-41.47,"Dorsum, dorsa",gazeteer_of_planetary_nomenclature
1149,Charitum Montes,-58.1,-40.29,"Mons, montes",gazeteer_of_planetary_nomenclature
1152,Charleston,22.63,-47.8,"Crater, craters",gazeteer_of_planetary_nomenclature
1154,Charlier,-68.56,-168.47,"Crater, craters",gazeteer_of_planetary_nomenclature
1155,Charlieu,38.15,-83.99,"Crater, craters",gazeteer_of_planetary_nomenclature
1157,Charybdis Scopulus,-24.14,20.08,"Scopulus, scopuli",gazeteer_of_planetary_nomenclature
1160,Chasma Australe,-82.35,95.03,"Chasma, chasmata",gazeteer_of_planetary_nomenclature
1161,Chasma Boreale,82.54,-47.64,"Chasma, chasmata",gazeteer_of_planetary_nomenclature
1162,Chatturat,35.38,-94.94,"Crater, craters",gazeteer_of_planetary_nomenclature
1164,Chauk,23.35,-55.91,"Crater, craters",gazeteer_of_planetary_nomenclature
1166,Cheb,-24.2,-19.44,"Crater, craters",gazeteer_of_planetary_nomenclature
1169,Chefu,-22.91,112.24,"Crater, craters",gazeteer_of_planetary_nomenclature
1170,Chekalin,-24.28,-26.81,"Crater, craters",gazeteer_of_planetary_nomenclature
1175,Chersonesus,-49.67,100,Albedo Feature,gazeteer_of_planetary_nomenclature
1177,Chia,1.57,-59.65,"Crater, craters",gazeteer_of_planetary_nomenclature
1179,Chico Valles,-66.77,-152.23,"Vallis, valles",gazeteer_of_planetary_nomenclature
1181,Chimbote,-1.42,-39.68,"Crater, craters",gazeteer_of_planetary_nomenclature
1183,Chincoteague,41.2,124.12,"Crater, craters",gazeteer_of_planetary_nomenclature
1185,Chinju,-4.52,-42.14,"Crater, craters",gazeteer_of_planetary_nomenclature
1186,Chinook,22.5,-55.46,"Crater, craters",gazeteer_of_planetary_nomenclature
1188,Chive,21.68,-56.01,"Crater, craters",gazeteer_of_planetary_nomenclature
1193,Choctaw,-41.19,-37.24,"Crater, craters",gazeteer_of_planetary_nomenclature
1195,Chom,38.57,-2.52,"Crater, craters",gazeteer_of_planetary_nomenclature
1202,Chryse,9.88,-30,Albedo Feature,gazeteer_of_planetary_nomenclature
1203,Chryse Planitia,28.43,-40.31,"Planitia, planitiae",gazeteer_of_planetary_nomenclature
1204,Chrysokeras,-49.67,-110,Albedo Feature,gazeteer_of_planetary_nomenclature
1212,Chur,16.93,-29.31,"Crater, craters",gazeteer_of_planetary_nomenclature
1221,Circle,-22.17,-25.53,"Crater, craters",gazeteer_of_planetary_nomenclature
1227,Clanis Valles,33.24,58.47,"Vallis, valles",gazeteer_of_planetary_nomenclature
1229,Claritas,-34.68,-110,Albedo Feature,gazeteer_of_planetary_nomenclature
1230,Claritas Fossae,-27.89,-104.24,"Fossa, fossae",gazeteer_of_planetary_nomenclature
1231,Claritas Rupes,-25.04,-105.26,"Rupes, rupēs",gazeteer_of_planetary_nomenclature
1233,Clark,-55.14,-133.2,"Crater, craters",gazeteer_of_planetary_nomenclature
1234,Clasia Vallis,33.77,57.04,"Vallis, valles",gazeteer_of_planetary_nomenclature
1237,Cleia Dorsum,-54.86,-45.99,"Dorsum, dorsa",gazeteer_of_planetary_nomenclature
1247,Clogh,20.56,-47.67,"Crater, craters",gazeteer_of_planetary_nomenclature
1249,Clota Vallis,-25.59,-20.5,"Vallis, valles",gazeteer_of_planetary_nomenclature
1251,Clova,21.47,-52.05,"Crater, craters",gazeteer_of_planetary_nomenclature
